x,y,z
12.9086,10.5795,-15.7213
12.7467,10.555,-14.5838
12.7925,10.5308,-14.4706
12.8425,10.5708,-15.0799
11.4998,10.1951,-11.0833
11.6395,10.343,-10.9678
11.7976,9.99961,-10.9924
11.1551,10.6132,-16.7673
11.6003,10.787,-16.7375
10.77,11.9688,-16.6894
12.7784,10.6628,-15.2171
12.8425,10.5708,-15.0799
12.9086,10.5795,-15.7213
12.9896,10.7516,-16.5804
13.1034,10.5474,-16.594
13.8617,10.6402,-16.5101
11.8533,10.1066,-12.7536
12.2415,10.0258,-12.8704
12.0981,9.91021,-13.1265
12.2415,10.2201,-11.0282
11.9644,9.84948,-10.837
12.3133,10.2292,-10.9052
12.6896,10.4974,-13.9088
12.6198,10.4547,-13.6952
12.4525,10.5221,-13.1419
12.5532,10.3488,-12.8371
12.4758,10.2956,-13.122
12.6896,10.4974,-13.9088
11.8533,10.1066,-12.7536
12.084,9.83907,-12.7184
12.2415,10.0258,-12.8704
11.6395,10.343,-10.9678
11.9007,10.5966,-10.9776
11.4904,10.179,-10.8564
12.0208,10.0913,-8.71649
12.0038,10.1216,-8.71649
12.0768,10.1274,-9.08498
12.9086,10.5795,-15.7213
12.951,10.6217,-15.9826
12.7784,10.6628,-15.2171
11.5541,11.8261,-16.6198
10.77,11.9688,-16.6894
11.6003,10.787,-16.7375
11.453,10.0187,-9.20571
11.466,10.1469,-9.06824
11.4967,9.99114,-8.9008
12.3431,9.87123,-16.588
12.3805,10.0985,-16.5571
12.4689,10.306,-16.6995
11.9417,10.8242,-16.7425
12.2965,11.2376,-16.5318
12.287,11.4786,-16.6336
12.155,11.0312,-14.6018
12.1969,11.0515,-14.587
12.193,11.0413,-14.7668
12.8071,10.732,-16.0799
12.951,10.6217,-15.9826
13.1034,10.5474,-16.594
11.4904,10.179,-10.8564
11.7318,9.99446,-10.8748
11.6395,10.343,-10.9678
12.1817,10.1703,-10.1091
12.1615,10.1847,-9.91181
12.2151,10.1729,-10.0356
12.3256,10.2215,-10.9912
12.2415,10.2201,-11.0282
12.3945,10.2874,-11.6455
11.7785,9.74191,-9.17
11.728,9.73431,-8.71649
11.7319,9.78444,-8.71649
11.8488,9.79269,-10.0182
11.8184,9.82185,-10.1667
11.8478,9.78655,-10.1645
12.8021,10.476,-16.0341
13.1034,10.5474,-16.594
12.951,10.6217,-15.9826
11.453,10.0187,-9.20571
11.4967,9.99114,-8.9008
11.3918,10.0333,-8.71649
12.4689,10.306,-16.6995
12.3805,10.0985,-16.5571
12.5243,10.0315,-16.6638
11.7714,10.457,-9.07242
11.6746,10.4117,-9.08453
11.7947,10.3617,-9.07932
12.4835,10.3415,-12.3955
12.5097,10.3543,-12.4883
12.4826,10.3396,-12.3077
11.6927,10.4517,-14.837
11.6941,10.4733,-14.8216
11.6634,10.4231,-14.7221
12.6896,10.4974,-13.9088
12.4758,10.2956,-13.122
12.6105,10.3895,-13.6036
12.9086,10.5795,-15.7213
12.8209,10.537,-15.5918
12.8071,10.732,-16.0799
13.8617,10.6402,-16.5101
13.6214,9.87837,-16.5331
14.2607,10.2783,-16.5109
12.8425,10.5708,-15.0799
12.7784,10.6628,-15.2171
12.6987,10.5241,-14.8245
11.7976,9.99961,-10.9924
11.9398,9.81341,-11.0636
11.4998,10.1951,-11.0833
12.2506,11.1601,-15.5861
12.2629,11.1525,-15.7102
12.2093,11.0881,-15.6067
11.9644,9.84948,-10.837
11.7318,9.99446,-10.8748
11.9398,9.81341,-11.0636
11.6927,10.4517,-14.837
11.6634,10.4231,-14.7221
11.6491,10.4417,-14.611
13.0306,9.72009,-16.6485
13.0044,10.0849,-16.5568
13.1034,10.5474,-16.594
12.7925,10.5308,-14.4706
12.7467,10.555,-14.5838
12.5481,10.6014,-14.1175
12.2609,10.2494,-10.6708
12.2415,10.2201,-11.0282
12.3133,10.2292,-10.9052
12.3256,10.2215,-10.9912
12.3133,10.2292,-10.9052
11.9644,9.84948,-10.837
11.453,10.0187,-9.20571
11.3918,10.0333,-8.71649
11.466,10.1469,-9.06824
12.9896,10.7516,-16.5804
12.8821,10.5408,-16.6073
12.8021,10.476,-16.0341
11.8269,10.2702,-16.7545
11.7195,10.5555,-16.5554
11.6003,10.787,-16.7375
12.5481,10.6014,-14.1175
12.7467,10.555,-14.5838
12.6628,10.4263,-14.0075
12.5002,10.3542,-12.3892
12.4826,10.3396,-12.3077
12.5097,10.3543,-12.4883
12.2965,11.2376,-16.5318
12.7463,11.2096,-16.6119
12.287,11.4786,-16.6336
12.6198,10.4547,-13.6952
12.6105,10.3895,-13.6036
12.4758,10.2956,-13.122
11.8269,10.2702,-16.7545
11.4458,10.3175,-16.5567
11.5479,9.96653,-16.4223
12.4052,10.0932,-15.1477
12.176,10.0766,-15.3226
12.2536,9.94166,-14.6578
11.731,10.185,-13.1086
11.6756,10.4108,-13.0607
11.7863,10.1382,-12.8055
12.1943,11.0282,-14.5766
12.155,11.0312,-14.6018
12.193,11.0413,-14.7668
11.7318,9.99446,-10.8748
11.7976,9.99961,-10.9924
11.6395,10.343,-10.9678
11.9007,10.5966,-10.9776
11.6395,10.343,-10.9678
11.4998,10.1951,-11.0833
12.2415,10.2201,-11.0282
12.2609,10.2494,-10.6708
12.3945,10.2874,-11.6455
12.6236,10.3232,-15.6514
12.3977,10.115,-15.6026
12.3604,9.96001,-15.6177
11.9531,10.7225,-11.9276
11.9712,10.7031,-11.8489
11.9764,10.71,-11.9298
12.3945,10.2874,-11.6455
12.2609,10.2494,-10.6708
12.3256,10.2215,-10.9912
12.3604,9.96001,-15.6177
12.176,10.0766,-15.3226
12.3066,10.0122,-15.7397
11.5479,9.96653,-16.4223
11.9036,9.82766,-16.5041
11.8269,10.2702,-16.7545
12.1817,10.1703,-10.1091
12.2151,10.1729,-10.0356
12.1795,10.157,-9.89466
11.7785,9.74191,-9.17
11.7641,9.86734,-9.10889
11.728,9.73431,-8.71649
12.6987,10.5241,-14.8245
12.7925,10.5308,-14.4706
12.6628,10.4263,-14.0075
11.7195,10.5555,-16.5554
11.8269,10.2702,-16.7545
11.9417,10.8242,-16.7425
12.6794,10.3988,-15.0088
12.8425,10.5708,-15.0799
12.7925,10.5308,-14.4706
11.7641,9.86734,-9.10889
11.7785,9.74191,-9.17
11.7319,9.78444,-8.71649
12.0768,10.1274,-9.08498
12.0325,10.0966,-8.71649
12.0208,10.0913,-8.71649
12.3066,10.0122,-15.7397
12.176,10.0766,-15.3226
12.3977,10.115,-15.6026
12.5532,10.3488,-12.8371
12.4865,10.4564,-12.931
12.4758,10.2956,-13.122
12.3977,10.115,-15.6026
12.176,10.0766,-15.3226
12.4052,10.0932,-15.1477
11.9036,9.82766,-16.5041
11.5479,9.96653,-16.4223
11.3662,9.99331,-16.7509
10.879,10.5788,-16.7646
11.3662,9.99331,-16.7509
11.0019,10.5401,-16.5564
11.9553,10.7365,-12.856
12.1056,10.7495,-12.79
12.0194,10.8426,-12.7457
11.6095,10.313,-12.7691
11.7863,10.1382,-12.8055
11.6756,10.4108,-13.0607
12.6896,10.4974,-13.9088
12.6628,10.4263,-14.0075
12.7925,10.5308,-14.4706
12.3431,9.87123,-16.588
12.5243,10.0315,-16.6638
12.4069,10.0067,-16.2123
12.4525,10.5221,-13.1419
12.4865,10.4564,-12.931
12.5532,10.3488,-12.8371
12.1227,10.8198,-12.9312
12.1056,10.7495,-12.79
11.9553,10.7365,-12.856
12.8021,10.476,-16.0341
12.8821,10.5408,-16.6073
13.1034,10.5474,-16.594
12.5002,10.3542,-12.3892
12.5097,10.3543,-12.4883
12.4835,10.3415,-12.3955
12.951,10.6217,-15.9826
12.8071,10.732,-16.0799
12.8209,10.537,-15.5918
12.4689,10.306,-16.6995
13.0306,9.72009,-16.6485
13.1034,10.5474,-16.594
12.8021,10.476,-16.0341
12.951,10.6217,-15.9826
12.9086,10.5795,-15.7213
11.662,10.3279,-9.14567
11.6746,10.4117,-9.08453
11.7714,10.457,-9.07242
11.9417,10.8242,-16.7425
11.6003,10.787,-16.7375
11.7195,10.5555,-16.5554
12.6987,10.5241,-14.8245
12.7467,10.555,-14.5838
12.8425,10.5708,-15.0799
11.6003,10.787,-16.7375
11.9417,10.8242,-16.7425
11.5541,11.8261,-16.6198
11.5479,9.96653,-16.4223
11.4458,10.3175,-16.5567
11.0019,10.5401,-16.5564
12.1817,10.1703,-10.1091
12.1795,10.157,-9.89466
12.1615,10.1847,-9.91181
12.0194,10.8426,-12.7457
12.1056,10.7495,-12.79
12.1227,10.8198,-12.9312
11.3918,10.0333,-8.71649
